exp_subject_id,stimulus_set,Musician,scramble,mean_response_rate
377647,1,Yes,1B,3.6363636363636367
377647,1,Yes,2B,5
377647,1,Yes,8B,3.6363636363636367
377647,1,Yes,Intact,1.3636363636363638
377663,1,No,1B,13.181818181818183
377663,1,No,2B,14.09090909090909
377663,1,No,8B,11.363636363636363
377663,1,No,Intact,15
377664,1,No,1B,1.8181818181818183
377664,1,No,2B,1.3636363636363638
377664,1,No,8B,1.8181818181818183
377664,1,No,Intact,1.3636363636363638
377665,1,No,1B,10.454545454545455
377665,1,No,2B,6.818181818181818
377665,1,No,8B,3.181818181818182
377665,1,No,Intact,2.272727272727273
377692,1,No,1B,1.8181818181818183
377692,1,No,2B,4.090909090909092
377692,1,No,8B,3.181818181818182
377692,1,No,Intact,2.7272727272727275
377701,1,No,1B,10
377701,1,No,2B,9.090909090909092
377701,1,No,8B,10.454545454545455
377701,1,No,Intact,9.545454545454547
377708,1,No,1B,2.7272727272727275
377708,1,No,2B,2.272727272727273
377708,1,No,8B,2.272727272727273
377708,1,No,Intact,2.272727272727273
377747,1,No,1B,8.636363636363637
377747,1,No,2B,6.818181818181818
377747,1,No,8B,5.454545454545455
377747,1,No,Intact,4.545454545454546
377770,1,No,1B,7.272727272727273
377770,1,No,2B,9.090909090909092
377770,1,No,8B,3.181818181818182
377770,1,No,Intact,1.3636363636363638
377777,1,No,1B,13.181818181818183
377777,1,No,2B,9.545454545454547
377777,1,No,8B,1.8181818181818183
377777,1,No,Intact,0.4545454545454546
393230,1,Yes,1B,3.6363636363636367
393230,1,Yes,2B,3.181818181818182
393230,1,Yes,8B,1.8181818181818183
393230,1,Yes,Intact,1.3636363636363638
393239,1,Yes,1B,3.181818181818182
393239,1,Yes,2B,2.272727272727273
393239,1,Yes,8B,1.8181818181818183
393239,1,Yes,Intact,1.8181818181818183
393240,1,Yes,1B,5
393240,1,Yes,2B,6.818181818181818
393240,1,Yes,8B,2.7272727272727275
393240,1,Yes,Intact,5
393241,1,Yes,1B,1.8181818181818183
393241,1,Yes,2B,3.6363636363636367
393241,1,Yes,8B,2.272727272727273
393241,1,Yes,Intact,2.7272727272727275
393242,1,Yes,1B,13.181818181818183
393242,1,Yes,2B,12.272727272727273
393242,1,Yes,8B,5.454545454545455
393242,1,Yes,Intact,6.818181818181818
393245,1,Yes,1B,2.272727272727273
393245,1,Yes,2B,3.181818181818182
393245,1,Yes,8B,3.181818181818182
393245,1,Yes,Intact,2.272727272727273
393246,1,Yes,1B,4.545454545454546
393246,1,Yes,2B,3.181818181818182
393246,1,Yes,8B,2.7272727272727275
393246,1,Yes,Intact,3.6363636363636367
393249,1,Yes,1B,4.090909090909092
393249,1,Yes,2B,5.454545454545455
393249,1,Yes,8B,0.9090909090909092
393249,1,Yes,Intact,1.8181818181818183
